label,class,io
/c/canal/urban,79,2
/c/candy_store,80,1
/c/canyon,81,2
/c/car_interior,82,1
/c/carrousel,83,2
/c/castle,84,2
/c/catacomb,85,1
/c/cemetery,86,2
/c/chalet,87,2
/c/chemistry_lab,88,1
/c/childs_room,89,1
/c/church/indoor,90,1
/c/church/outdoor,91,2
/c/classroom,92,1
/c/clean_room,93,1
/c/cliff,94,2
/c/closet,95,1
/c/clothing_store,96,1
/c/coast,97,2
/c/cockpit,98,1
/c/coffee_shop,99,1
/c/computer_room,100,1
/c/conference_center,101,1
/c/conference_room,102,1
/c/construction_site,103,2
/c/corn_field,104,2
/c/corral,105,2
/c/corridor,106,1
/c/cottage,107,2
/c/courthouse,108,2
/c/courtyard,109,2
/c/creek,110,2
/c/crevasse,111,2
/c/crosswalk,112,2
/d/dam,113,2
/d/delicatessen,114,1
/d/department_store,115,1
/d/desert/sand,116,2
/d/desert/vegetation,117,2
/d/desert_road,118,2
/d/diner/outdoor,119,2
/d/dining_hall,120,1
/d/dining_room,121,1
/d/discotheque,122,1
/d/doorway/outdoor,123,2
/d/dorm_room,124,1
/d/downtown,125,2
/d/dressing_room,126,1
/d/driveway,127,2
/d/drugstore,128,1
/e/elevator/door,129,1
/e/elevator_lobby,130,1
/e/elevator_shaft,131,1
/e/embassy,132,2
/e/engine_room,133,1
/e/entrance_hall,134,1
/e/escalator/indoor,135,1
/e/excavation,136,2
/f/fabric_store,137,1
/f/farm,138,2
/f/fastfood_restaurant,139,1
/f/field/cultivated,140,2
/f/field/wild,141,2
/f/field_road,142,2
/f/fire_escape,143,2
/f/fire_station,144,2
/f/fishpond,145,2
/f/flea_market/indoor,146,1
/f/florist_shop/indoor,147,1
/f/food_court,148,1
/f/football_field,149,2
/f/forest/broadleaf,150,2
/f/forest_path,151,2
/f/forest_road,152,2
/f/formal_garden,153,2
/f/fountain,154,2
/g/galley,155,1
/g/garage/indoor,156,1
/g/garage/outdoor,157,2
/g/gas_station,158,2
/g/gazebo/exterior,159,2
/g/general_store/indoor,160,1
/g/general_store/outdoor,161,2
/g/gift_shop,162,1
/g/glacier,163,2
/g/golf_course,164,2
/g/greenhouse/indoor,165,1
/g/greenhouse/outdoor,166,2
/g/grotto,167,2
/g/gymnasium/indoor,168,1
/h/hangar/indoor,169,1
/h/hangar/outdoor,170,2
/h/harbor,171,2
/h/hardware_store,172,1
/h/hayfield,173,2
/h/heliport,174,2
/h/highway,175,2
/h/home_office,176,1
/h/home_theater,177,1
/h/hospital,178,2
/h/hospital_room,179,1
/h/hot_spring,180,2
/h/hotel/outdoor,181,2
/h/hotel_room,182,1
/h/house,183,2
/h/hunting_lodge/outdoor,184,2
/i/ice_cream_parlor,185,1
/i/ice_floe,186,2
/i/ice_shelf,187,2
/i/ice_skating_rink/indoor,188,1
/i/ice_skating_rink/outdoor,189,2
/i/iceberg,190,2
/i/igloo,191,2
/i/industrial_area,192,2
/i/inn/outdoor,193,2
/i/islet,194,2
/j/jacuzzi/indoor,195,1
/j/jail_cell,196,1
/j/japanese_garden,197,2
/j/jewelry_shop,198,1
/j/junkyard,199,2
/k/kasbah,200,2
/k/kennel/outdoor,201,2
/k/kindergarden_classroom,202,1
/k/kitchen,203,1
/l/lagoon,204,2
/l/lake/natural,205,2
/l/landfill,206,2
/l/landing_deck,207,2
/l/laundromat,208,1
/l/lawn,209,2
/l/lecture_room,210,1
/l/legislative_chamber,211,1
/l/library/indoor,212,1
/l/library/outdoor,213,2
/l/lighthouse,214,2
/l/living_room,215,1
/l/loading_dock,216,2
/l/lobby,217,1
/l/lock_chamber,218,2
/l/locker_room,219,1
/m/mansion,220,2
/m/manufactured_home,221,2
/m/market/indoor,222,1
/m/market/outdoor,223,2
/m/marsh,224,2
/m/martial_arts_gym,225,1
/m/mausoleum,226,2
/m/medina,227,2
/m/mezzanine,228,1
/m/moat/water,229,2
/m/mosque/outdoor,230,2
/m/motel,231,2
/m/mountain,232,2
/m/mountain_path,233,2
/m/mountain_snowy,234,2
/m/movie_theater/indoor,235,1
/m/museum/indoor,236,1
/m/museum/outdoor,237,2
/m/music_studio,238,1
/n/natural_history_museum,239,1
/n/nursery,240,1
/n/nursing_home,241,1
/o/oast_house,242,2
/o/ocean,243,2
/o/office,244,1
/o/office_building,245,2
/o/office_cubicles,246,1
/o/oilrig,247,2
/o/operating_room,248,1
/o/orchard,249,2
/o/orchestra_pit,250,1
/p/pagoda,251,2
/p/palace,252,2
/p/pantry,253,1
/p/park,254,2
/p/parking_garage/indoor,255,1
/p/parking_garage/outdoor,256,2
/p/parking_lot,257,2
/p/pasture,258,2
/p/patio,259,2
/p/pavilion,260,2
/p/pet_shop,261,1
/p/pharmacy,262,1
/p/phone_booth,263,2
/p/physics_laboratory,264,1
/p/picnic_area,265,2
/p/pier,266,2
/p/pizzeria,267,1
/p/playground,268,2
/p/playroom,269,1
/p/plaza,270,2
/p/pond,271,2
/p/porch,272,2
/p/promenade,273,2
/p/pub/indoor,274,1
/r/racecourse,275,2
/r/raceway,276,2
/r/raft,277,2
/r/railroad_track,278,2
/r/rainforest,279,2
/r/reception,280,1
/r/recreation_room,281,1
/r/repair_shop,282,1
/r/residential_neighborhood,283,2
/r/restaurant,284,1
/r/restaurant_kitchen,285,1
/r/restaurant_patio,286,2
/r/rice_paddy,287,2
/r/river,288,2
/r/rock_arch,289,2
/r/roof_garden,290,2
/r/rope_bridge,291,2
/r/ruin,292,2
/r/runway,293,2
/s/sandbox,294,2
/s/sauna,295,1
/s/schoolhouse,296,2
/s/science_museum,297,1
/s/server_room,298,1
/s/shed,299,2
/s/shoe_shop,300,1
/s/shopfront,301,2
/s/shopping_mall/indoor,302,1
/s/shower,303,1
/s/ski_resort,304,2
/s/ski_slope,305,2
/s/sky,306,2
/s/skyscraper,307,2
/s/slum,308,2
/s/snowfield,309,2
/s/soccer_field,310,2
/s/stable,311,1
/s/stadium/baseball,312,2
/s/stadium/football,313,2
/s/stadium/soccer,314,2
/s/stage/indoor,315,1
/s/stage/outdoor,316,2
/s/staircase,317,1
/s/storage_room,318,1
/s/street,319,2
/s/subway_station/platform,320,1
/s/supermarket,321,1
/s/sushi_bar,322,1
/s/swamp,323,2
/s/swimming_hole,324,1
/s/swimming_pool/indoor,325,1
/s/swimming_pool/outdoor,326,2
/s/synagogue/outdoor,327,2
/t/television_room,328,1
/t/television_studio,329,1
/t/temple/asia,330,2
/t/throne_room,331,1
/t/ticket_booth,332,1
/t/topiary_garden,333,2
/t/tower,334,2
/t/toyshop,335,1
/t/train_interior,336,1
/t/train_station/platform,337,1
/t/tree_farm,338,2
/t/tree_house,339,2
/t/trench,340,2
/t/tundra,341,2
/u/underwater/ocean_deep,342,2
/u/utility_room,343,1
/v/valley,344,2
/v/vegetable_garden,345,2
/v/veterinarians_office,346,1
/v/viaduct,347,2
/v/village,348,2
/v/vineyard,349,2
/v/volcano,350,2
/v/volleyball_court/outdoor,351,2
/w/waiting_room,352,1
/w/water_park,353,2
/w/water_tower,354,2
/w/waterfall,355,2
/w/watering_hole,356,2
/w/wave,357,2
/w/wet_bar,358,1
/w/wheat_field,359,2
/w/wind_farm,360,2
/w/windmill,361,2
/y/yard,362,2
/y/youth_hostel,363,1
/z/zen_garden,364,2
